date,Trust_Raw
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-22,No confidence at all
2022-02-22,A fair amount of confidence
2022-02-22,Not very much confidence
2022-02-22,A lot of confidence
2022-02-22,A lot of confidence
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,Not very much confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,Not very much confidence
2022-02-22,A lot of confidence
2022-02-22,A lot of confidence
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,Don't know
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,Not very much confidence
2022-02-22,A fair amount of confidence
2022-02-22,Don't know
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A fair amount of confidence
2022-02-22,A lot of confidence
2022-02-22,Don't know
2022-02-22,A fair amount of confidence
2022-02-22,Not very much confidence
2022-02-22,A fair amount of confidence
2022-02-22,No confidence at all
2022-02-22,Not very much confidence
2022-02-22,A fair amount of confidence
2022-02-22,Not very much confidence
2022-02-22,A fair amount of confidence
2022-02-22,Don't know
2022-02-22,Don't know
2022-02-22,Not very much confidence
2022-02-22,Don't know
2022-02-22,A lot of confidence
2022-02-22,A fair amount of confidence
2022-02-23,No confidence at all
2022-02-23,No confidence at all
2022-02-23,Not very much confidence
2022-02-23,A fair amount of confidence
2022-02-23,Not very much confidence
2022-02-23,Not very much confidence
2022-02-23,Don't know
2022-02-23,No confidence at all
2022-02-23,Not very much confidence
2022-02-23,A fair amount of confidence
2022-02-23,A fair amount of confidence
2022-02-23,A fair amount of confidence
2022-02-23,A fair amount of confidence
2022-02-23,A lot of confidence
2022-02-23,Don't know
2022-02-23,Not very much confidence
2022-02-23,A fair amount of confidence
2022-02-24,Not very much confidence
2022-02-25,Not very much confidence
2022-02-25,A fair amount of confidence
2022-02-25,No confidence at all
2022-02-25,Don't know
2022-02-25,A fair amount of confidence
2022-02-25,Don't know
2022-02-25,A fair amount of confidence
2022-02-25,A lot of confidence
2022-02-25,Don't know
2022-02-25,No confidence at all
2022-02-25,A fair amount of confidence
2022-02-26,A lot of confidence
2022-02-26,Not very much confidence
2022-02-26,A fair amount of confidence
2022-02-26,A fair amount of confidence
2022-02-26,A fair amount of confidence
2022-02-26,A fair amount of confidence
2022-02-26,Not very much confidence
2022-02-26,Not very much confidence
2022-02-26,Don't know
2022-02-26,Not very much confidence
2022-02-26,Not very much confidence
2022-02-26,Not very much confidence
2022-02-26,A fair amount of confidence
2022-02-26,Not very much confidence
2022-02-27,A fair amount of confidence
2022-02-27,Don't know
2022-02-27,A lot of confidence
2022-02-27,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,No confidence at all
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,No confidence at all
2022-03-07,No confidence at all
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,Don't know
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,No confidence at all
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Don't know
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A lot of confidence
2022-03-07,A lot of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,Not very much confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,A fair amount of confidence
2022-03-07,No confidence at all
2022-03-07,A lot of confidence
