date,Trust_Score,Stringency_z,Newcase_z,Death_z,Stringency_lag,Trust_lag,Cases_lag,Death_lag,Policy_change,Gap_signed,Gap_abs
2020-08-08,-0.1505466849561463,0.690769333342833,-0.769866867141049,-0.6711024163712788,0.5554262470007367,0.028828154067864,-0.7735729913084289,-0.673033012074984,0.13534308634209624,0.8413160182989793,0.8413160182989793
2020-08-09,-0.3156652765672522,0.690769333342833,-0.7687674228994733,-0.6744809680666535,0.8797829539240374,-0.1505466849561463,-0.7725894881265588,-0.6711024163712788,-0.1890136205812044,1.0064346099100852,1.0064346099100852
2020-08-10,-0.1359696022296442,0.690769333342833,-0.7681637295323087,-0.6735156679113282,0.8797829539240374,-0.3156652765672522,-0.772037768272088,-0.6744809680666535,-0.1890136205812044,0.8267389355724771,0.8267389355724771
2020-08-12,0.0191525611240765,0.690769333342833,-0.766156745598248,-0.6715850652972051,0.8797829539240374,-0.1359696022296442,-0.7723416145974084,-0.6735156679113282,-0.1890136205812044,0.6716167722187565,0.6716167722187565
2020-08-13,-0.0271499846666864,0.47433707026991156,-0.7649093774774881,-0.6749636169925798,0.7718585100736581,0.0191525611240765,-0.7714580610655047,-0.6715850652972051,-0.29752143980374657,0.501487054936598,0.501487054936598
2020-08-14,-0.1709546007732492,0.47433707026991156,-0.7643056822022685,-0.6696544672900273,0.7718585100736581,-0.0271499846666864,-0.7706184862954527,-0.6749636169925798,-0.29752143980374657,0.6452916710431608,0.6452916710431608
2020-08-15,-0.3400487604006739,0.47433707026991156,-0.7641017855269145,-0.6686891625277568,0.7718585100736581,-0.1709546007732492,-0.770502545235747,-0.6696544672900273,-0.29752143980374657,0.8143858306705855,0.8143858306705855
2020-08-16,-0.3267968670129446,0.47433707026991156,-0.7632542121899103,-0.6715850652972051,0.690769333342833,-0.3400487604006739,-0.769866867141049,-0.6686891625277568,-0.2164322630729214,0.8011339372828561,0.8011339372828561
2020-08-19,-0.0733275440265674,0.47433707026991156,-0.7641417650052902,-0.6749636169925798,0.690769333342833,-0.3267968670129446,-0.7687674228994733,-0.6715850652972051,-0.2164322630729214,0.547664614296479,0.547664614296479
2020-08-20,-0.2193640755021912,0.47433707026991156,-0.765189233826117,-0.6773768639256839,0.3664126264195323,-0.0733275440265674,-0.7681637295323087,-0.6749636169925798,0.10792444385037925,0.6937011457721027,0.6937011457721027
2020-08-21,-0.4566654222126908,0.47433707026991156,-0.7650293140045598,-0.6826860228421269,0.3664126264195323,-0.2193640755021912,-0.766156745598248,-0.6773768639256839,0.10792444385037925,0.9310024924826024,0.9310024924826024
2020-08-22,-0.1925629822266524,0.47433707026991156,-0.7636620055406181,-0.6860645676270837,0.3664126264195323,-0.4566654222126908,-0.7649093774774881,-0.6826860228421269,0.10792444385037925,0.666900052496564,0.666900052496564
2020-08-23,-0.3310782479535957,0.47433707026991156,-0.7635300730711734,-0.6899257682483847,0.3664126264195323,-0.1925629822266524,-0.7643056822022685,-0.6860645676270837,0.10792444385037925,0.8054153182235073,0.8054153182235073
2020-08-24,-0.0485071058706314,0.47433707026991156,-0.7630183346031331,-0.6952349179509372,0.3664126264195323,-0.3310782479535957,-0.7641017855269145,-0.6899257682483847,0.10792444385037925,0.522844176140543,0.522844176140543
2020-08-25,0.8698491058990023,0.47433707026991156,-0.7621027963436959,-0.6942696200990846,0.3664126264195323,-0.0485071058706314,-0.7632542121899103,-0.6952349179509372,0.10792444385037925,-0.39551203562909076,0.39551203562909076
2020-08-27,0.0302957373835285,0.47433707026991156,-0.7614791141913712,-0.6966828693356613,0.3664126264195323,0.8698491058990023,-0.7641417650052902,-0.6942696200990846,0.10792444385037925,0.4440413328863831,0.4440413328863831
2020-08-28,-0.1281477529617649,0.47433707026991156,-0.7610553256148139,-0.6952349179509372,0.3664126264195323,0.0302957373835285,-0.765189233826117,-0.6966828693356613,0.10792444385037925,0.6024848232316764,0.6024848232316764
2020-08-29,-0.2368878672592742,0.47433707026991156,-0.7606835124590056,-0.6971655182615876,0.3664126264195323,-0.1281477529617649,-0.7650293140045598,-0.6952349179509372,0.10792444385037925,0.7112249375291857,0.7112249375291857
2020-08-30,-0.4937707236983326,0.47433707026991156,-0.759028350987538,-0.696200220409735,0.3664126264195323,-0.2368878672592742,-0.7636620055406181,-0.6971655182615876,0.10792444385037925,0.9681077939682441,0.9681077939682441
2020-08-31,-0.354625843127176,0.47433707026991156,-0.757477140357568,-0.6981308207203855,0.3664126264195323,-0.4937707236983326,-0.7635300730711734,-0.696200220409735,0.10792444385037925,0.8289629133970875,0.8289629133970875
2020-09-02,0.0232985238562123,0.3664126264195323,-0.7552662559320431,-0.6966828693356613,0.3664126264195323,-0.354625843127176,-0.7630183346031331,-0.6981308207203855,0.0,0.34311410256332003,0.34311410256332003
2020-09-03,-0.5732820840247078,0.3664126264195323,-0.751196317175807,-0.7019920190382137,0.3664126264195323,0.0232985238562123,-0.7621027963436959,-0.6966828693356613,0.0,0.9396947104442401,0.9396947104442401
2020-09-04,-1.2729820548968098,0.3664126264195323,-0.7444437311882713,-0.7024746725710853,0.3664126264195323,-0.5732820840247078,-0.7614791141913712,-0.7019920190382137,0.0,1.6393946813163423,1.6393946813163423
2020-09-05,0.359651210471428,0.3664126264195323,-0.7382028932090512,-0.7039226193488642,0.3664126264195323,-1.2729820548968098,-0.7610553256148139,-0.7024746725710853,0.0,0.00676141594810431,0.00676141594810431
2020-09-06,-0.0485071058706314,0.3664126264195323,-0.7323658492970628,-0.7024746725710853,0.3664126264195323,0.359651210471428,-0.7606835124590056,-0.7039226193488642,0.0,0.4149197322901637,0.4149197322901637
2020-09-09,-0.0525261702547436,0.3664126264195323,-0.7122440288115418,-0.6957175714838087,0.690769333342833,-0.0485071058706314,-0.759028350987538,-0.7024746725710853,-0.32435670692330065,0.4189387966742759,0.4189387966742759
