date,Death_Raw
2022-06-23,0.72078836
2022-06-24,0.7794572
2022-06-25,0.78993374
2022-06-26,0.7962197
2022-06-27,0.8527932
2022-06-28,0.89889014
2022-06-29,0.9324152
2022-06-30,0.9617496
2022-07-01,0.98270273
2022-07-02,1.0099418
2022-07-03,1.0748966
2022-07-04,1.1147076
2022-07-05,1.1147076
2022-07-06,1.1712811
2022-07-07,1.2341405
2022-07-08,1.303286
2022-07-09,1.3598595
2022-07-10,1.4227189
2022-07-11,1.4625299
2022-07-12,1.5610096
2022-07-13,1.6385363
2022-07-14,1.7474927
2022-07-15,1.7873037
2022-07-16,1.8375913
2022-07-17,1.82921
2022-07-18,1.8564491
2022-07-19,1.9465476
2022-07-20,1.9444523
2022-07-21,2.0932198
2022-07-22,2.2105575
2022-07-23,2.2105575
2022-07-24,2.235701
2022-07-25,2.2461777
2022-07-26,2.1896043
2022-07-27,2.1623652
2022-07-28,1.9423571
2022-07-29,1.7831131
2022-07-30,1.7831131
2022-07-31,1.7852083
2022-08-01,1.6804427
2022-08-02,1.6092019
2022-08-03,1.5652003
2022-08-04,1.5274847
2022-08-05,1.5107222
2022-08-06,1.4248142
2022-08-07,1.3598595
2022-08-08,1.3347157
2022-08-09,1.3389063
2022-08-10,1.3535736
2022-08-11,1.3284297
2022-08-12,1.263475
2022-08-13,1.290714
2022-08-14,1.3326204
2022-08-15,1.3891939
2022-08-16,1.3682407
2022-08-17,1.3451922
2022-08-18,1.3053813
2022-08-19,1.263475
2022-08-20,1.1901389
2022-08-21,1.1105169
2022-08-22,1.0769919
2022-08-23,1.0162278
2022-08-24,0.96594024
2022-08-25,0.98060745
2022-08-26,0.97222614
2022-08-27,0.9428918
2022-08-28,0.8905089
2022-08-29,0.8527932
2022-08-30,0.8527932
2022-08-31,0.82974476
2022-09-01,0.75640875
2022-09-02,0.80460095
2022-09-03,0.79412436
2022-09-04,0.8025057
2022-09-05,0.79412436
2022-09-06,0.7605994
2022-09-07,0.7291696
2022-09-08,0.7228837
2022-09-09,0.6935493
2022-09-10,0.69983524
2022-09-11,0.67888206
2022-09-12,0.6663102
2022-09-13,0.63697577
