date,Newcase_Raw
2022-09-27,100.16863
2022-09-28,105.30634
2022-09-29,106.198944
2022-09-30,108.00301
2022-10-01,110.26595
2022-10-02,112.63366
2022-10-03,115.45396
2022-10-04,119.56915
2022-10-05,126.01015
2022-10-06,131.69055
2022-10-07,135.49774
2022-10-08,138.62814
2022-10-09,141.42538
2022-10-10,141.40024
2022-10-11,140.04666
2022-10-12,137.54277
2022-10-13,134.3914
2022-10-14,131.32806
2022-10-15,128.69844
2022-10-16,126.64503
2022-10-17,125.36479
2022-10-18,123.734634
2022-10-19,122.69746
2022-10-20,120.1286
2022-10-21,117.67499
2022-10-22,114.410484
2022-10-23,110.90502
2022-10-24,107.81653
2022-10-25,103.0874
2022-10-26,96.392876
2022-10-27,91.00791
2022-10-28,86.50508
2022-10-29,82.89904
2022-10-30,78.92632
2022-10-31,76.024315
2022-11-01,73.40098
2022-11-02,69.88504
2022-11-03,67.54667
2022-11-04,64.539894
2022-11-05,62.073708
2022-11-06,59.36237
2022-11-07,57.43887
2022-11-08,55.335175
2022-11-09,53.64216
2022-11-10,52.133533
2022-11-11,51.215786
2022-11-12,50.2247
2022-11-13,49.776302
2022-11-14,49.29019
2022-11-15,48.546352
2022-11-16,47.712418
2022-11-17,47.0943
2022-11-18,46.432182
2022-11-19,46.08017
2022-11-20,45.82873
2022-11-21,45.82454
2022-11-22,45.778442
2022-11-23,45.80987
2022-11-24,46.3777
2022-11-25,47.123634
2022-11-26,47.735466
2022-11-27,48.005764
2022-11-28,48.257202
2022-11-29,49.426388
2022-11-30,50.895203
2022-12-01,52.11258
2022-12-02,52.875275
2022-12-03,53.24405
2022-12-04,54.6982
2022-12-05,55.110977
2022-12-06,55.81919
2022-12-07,57.256577
2022-12-08,59.048073
2022-12-09,61.59388
2022-12-10,63.756245
2022-12-11,65.05534
2022-12-12,66.77769
2022-12-13,68.54823
2022-12-14,72.02855
2022-12-15,75.946785
2022-12-16,78.75032
2022-12-17,82.012726
2022-12-18,85.92677
2022-12-19,88.384575
2022-12-20,90.77533
2022-12-21,95.148254
2022-12-22,98.33314
2022-12-23,100.99209
2022-12-24,102.63272
2022-12-25,101.914024
2022-12-26,100.63379
2022-12-27,96.279724
2022-12-28,87.64074
2022-12-29,83.39563
2022-12-30,84.688446
2022-12-31,86.4506
2023-01-01,87.2573
2023-01-02,87.58207
2023-01-03,87.51712
2023-01-04,87.74132
2023-01-05,87.01843
2023-01-06,81.09079
2023-01-07,74.73151
2023-01-08,69.96257
